Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10001,01-01-2024,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card
10002,02-01-2024,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal
10003,03-01-2024,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card
10004,04-01-2024,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card
10005,05-01-2024,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal
10006,06-01-2024,Sports,Wilson Evolution Basketball,5,29.99,149.95,Asia,Credit Card
10007,07-01-2024,Electronics,MacBook Pro 16-inch,1,2499.99,2499.99,North America,Credit Card
10008,08-01-2024,Home Appliances,Blueair Classic 480i,2,599.99,1199.98,Europe,PayPal
10009,09-01-2024,Clothing,Nike Air Force 1,6,89.99,539.94,Asia,Debit Card
10010,10-01-2024,Books,Dune by Frank Herbert,2,25.99,51.98,North America,Credit Card
10011,11-01-2024,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,PayPal
10012,12-01-2024,Sports,Babolat Pure Drive Tennis Racket,3,199.99,599.97,Asia,Credit Card
10013,13-01-2024,Electronics,Samsung Galaxy Tab S8,2,749.99,1499.98,North America,Credit Card
10014,14-01-2024,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Europe,PayPal
10015,15-01-2024,Clothing,North Face Down Jacket,2,249.99,499.98,Asia,Debit Card
10016,16-01-2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,35.99,107.97,North America,Credit Card
10017,17-01-2024,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,399.99,Europe,PayPal
10018,18-01-2024,Sports,Manduka PRO Yoga Mat,4,119.99,479.96,Asia,Credit Card
10019,19-01-2024,Electronics,Garmin Forerunner 945,2,499.99,999.98,North America,Credit Card
10020,20-01-2024,Home Appliances,Ninja Professional Blender,1,99.99,99.99,Europe,PayPal
10021,21-01-2024,Clothing,Zara Summer Dress,3,59.99,179.97,Asia,Debit Card
10022,22-01-2024,Books,Gone Girl by Gillian Flynn,2,22.99,45.98,North America,Credit Card
10023,23-01-2024,Beauty Products,Olay Regenerist Face Cream,1,49.99,49.99,Europe,PayPal
10024,24-01-2024,Sports,Adidas FIFA World Cup Football,3,29.99,89.97,Asia,Credit Card
10025,25-01-2024,Electronics,Bose QuietComfort 35 Headphones,1,299.99,299.99,North America,Credit Card
10026,26-01-2024,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,179.99,Europe,PayPal
10027,27-01-2024,Clothing,Adidas Ultraboost Shoes,2,179.99,359.98,Asia,Debit Card
10028,28-01-2024,Books,Pride and Prejudice by Jane Austen,3,12.99,38.97,North America,Credit Card
10029,29-01-2024,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,29.99,Europe,PayPal
10030,30-01-2024,Sports,Nike Air Zoom Pegasus 37,2,129.99,259.98,Asia,Credit Card
10031,31-01-2024,Electronics,Sony WH-1000XM4 Headphones,2,349.99,699.98,North America,Credit Card
10032,01-02-2024,Home Appliances,Instant Pot Duo,3,89.99,269.97,Europe,PayPal
10033,02-02-2024,Clothing,Under Armour HeatGear T-Shirt,5,29.99,149.95,Asia,Debit Card
10034,03-02-2024,Books,1984 by George Orwell,4,19.99,79.96,North America,Credit Card
10035,04-02-2024,Beauty Products,L'Oreal Revitalift Serum,2,39.99,79.98,Europe,PayPal
10036,05-02-2024,Sports,Peloton Bike,1,1895,1895,Asia,Credit Card
10037,06-02-2024,Electronics,Apple Watch Series 8,3,399.99,1199.97,North America,Credit Card
10038,07-02-2024,Home Appliances,Roomba i7+,2,799.99,1599.98,Europe,PayPal
10039,08-02-2024,Clothing,Columbia Fleece Jacket,4,59.99,239.96,Asia,Debit Card
10040,09-02-2024,Books,Harry Potter and the Sorcerer's Stone,3,24.99,74.97,North America,Credit Card
10041,10-02-2024,Beauty Products,Estee Lauder Advanced Night Repair,1,105,105,Europe,PayPal
10042,11-02-2024,Sports,Fitbit Charge 5,2,129.99,259.98,Asia,Credit Card
10043,12-02-2024,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card
10044,13-02-2024,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal
10045,14-02-2024,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Debit Card
10046,15-02-2024,Books,Becoming by Michelle Obama,4,32.5,130,North America,Credit Card
10047,16-02-2024,Beauty Products,Clinique Moisture Surge,1,52,52,Europe,PayPal
10048,17-02-2024,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card
10049,18-02-2024,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card
10050,19-02-2024,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal
10051,20-02-2024,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card
10052,21-02-2024,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card
10053,22-02-2024,Beauty Products,Shiseido Ultimate Sun Protector,1,49,49,Europe,PayPal
10054,23-02-2024,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card
10055,24-02-2024,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card
10056,25-02-2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal
10057,26-02-2024,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card
10058,27-02-2024,Books,Educated by Tara Westover,3,28,84,North America,Credit Card
10059,28-02-2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23,46,Europe,PayPal
10060,29-02-2024,Sports,Hyperice Hypervolt Massager,1,349,349,Asia,Credit Card
10061,01-03-2024,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card
10062,02-03-2024,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal
10063,03-03-2024,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card
10064,04-03-2024,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card
10065,05-03-2024,Beauty Products,Lancome La Vie Est Belle,1,102,102,Europe,PayPal
10066,06-03-2024,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card
10067,07-03-2024,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card
10068,08-03-2024,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal
10069,09-03-2024,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card
10070,10-03-2024,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card
10071,11-03-2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78,78,Europe,PayPal
10072,12-03-2024,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card
10073,13-03-2024,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card
10074,14-03-2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal
10075,15-03-2024,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card
10076,16-03-2024,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card
10077,17-03-2024,Beauty Products,Glossier Boy Brow,2,16,32,Europe,PayPal
10078,18-03-2024,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card
10079,19-03-2024,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card
10080,20-03-2024,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal
10081,21-03-2024,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card
10082,22-03-2024,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card
10083,23-03-2024,Beauty Products,Charlotte Tilbury Magic Cream,1,100,100,Europe,PayPal
10084,24-03-2024,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card
10085,25-03-2024,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card
10086,26-03-2024,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal
10087,27-03-2024,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card
10088,28-03-2024,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card
10089,29-03-2024,Beauty Products,Sunday Riley Good Genes,1,105,105,Europe,PayPal
10090,30-03-2024,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card
10091,31-03-2024,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card
10092,01-04-2024,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal
10093,02-04-2024,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card
10094,03-04-2024,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card
